,id_escola,tipo_escola,nome_escola,endereco,numero,bairro,latitude,longitude,quantidade_material,subprefeitura
109,527,EM,EM VIRGILIO VARZEA,RUA JOSE SILVA,155,PECHINCHA,-22.93253,-43.35113,179.0,JACAREPAGUA
113,175,COLÉGIO,E.M. NACOES UNIDAS,RUA DOS LIMADORES,s/n°,BANGU,-22.88814,-43.47629,435.0,GRANDE BANGU
110,586,EM,CIEP ANTONIO EVARISTO DE MORAES,AVENIDA DE SANTA CRUZ,s/n°,SENADOR CAMARA,-22.88179,-43.48732,194.0,GRANDE BANGU
116,689,EM,EM MOACIR PADILHA,RUA GENERAL GOMES DE CASTRO,30,PADRE MIGUEL,-22.86876,-43.45065,571.0,GRANDE BANGU
106,636,EM,EM PABLO NERUDA,ESTRADA DO MAPUA S/NO RUA,3,TAQUARA,-22.92688,-43.38788,161.0,JACAREPAGUA
111,080,COLÉGIO,E.M. JOSE MAURO DE VASCONCELOS,RUA MARLIERIA,s/nº,BANGU,-22.85043,-43.46685,599.0,GRANDE BANGU
115,641,EM,EM LAURO MULLER,RUA ROSA DE ALMEIDA,113,PADRE MIGUEL,-22.88207,-43.44644,269.0,GRANDE BANGU
41,624,EM,EM RIO GRANDE DO SUL,RUA ADOLFO BERGAMINI,201,ENGENHO DE DENTRO,-22.90034,-43.29594,109.0,ZONA NORTE
40,025,EM,ESCOLA MUNICIPAL GEORGE SUMMER,RUA ANA,neri,RIACHUELO,-22.90070,-43.25540,183.0,ZONA NORTE
35,382,EM,EM SANTOS ANJOS,RUA HUMBERTO DE CAMPOS,s/n°,LEBLON,-22.98155,-43.21702,262.0,ZONA SUL
37,378,EM,EM BRIGADEIRO FARIA LIMA,RUA VIOLETA,s/nº,AGUA SANTA,-22.90627,-43.30791,365.0,ZONA NORTE
36,217,EM,EM ALAGOAS,AVENIDA DOM HELDER CAMARA,6742,PILARES,-22.88133,-43.29409,440.0,ZONA NORTE
34,660,COLÉGIO,E.M NOSSA SENHORA DA POMPEIA,RUA CIRNE MAIA,109,TODOS OS SANTOS,-22.89203,-43.27992,342.0,ZONA NORTE
33,660,COLÉGIO,E.M NOSSA SENHORA DA POMPEIA,RUA CIRNE MAIA,109,TODOS OS SANTOS,-22.89203,-43.27992,342.0,ZONA NORTE
58,379,EM,CIEP NELSON MANDELA,PRACA DANIEL LAMES,s/nº,CAMPO GRANDE,-22.89557,-43.57050,109.0,ZONA OESTE
